,rouge-1,rouge-2,rouge-l
236,"{'r': 0.7241379310344828, 'p': 0.7636363636363637, 'f': 0.7433628268619314}","{'r': 0.6440677966101694, 'p': 0.6440677966101694, 'f': 0.6440677916101695}","{'r': 0.7068965517241379, 'p': 0.7454545454545455, 'f': 0.7256637118176834}"
237,"{'r': 0.64, 'p': 0.5925925925925926, 'f': 0.6153846103920119}","{'r': 0.42857142857142855, 'p': 0.4426229508196721, 'f': 0.4354838659690427}","{'r': 0.64, 'p': 0.5925925925925926, 'f': 0.6153846103920119}"
238,"{'r': 0.6714285714285714, 'p': 0.7966101694915254, 'f': 0.7286821655789917}","{'r': 0.5324675324675324, 'p': 0.6307692307692307, 'f': 0.5774647837681016}","{'r': 0.6428571428571429, 'p': 0.7627118644067796, 'f': 0.6976744136410071}"
239,"{'r': 0.6415094339622641, 'p': 0.7906976744186046, 'f': 0.7083333283875869}","{'r': 0.6268656716417911, 'p': 0.7636363636363637, 'f': 0.6885245852123086}","{'r': 0.6415094339622641, 'p': 0.7906976744186046, 'f': 0.7083333283875869}"
240,"{'r': 0.7068965517241379, 'p': 0.7735849056603774, 'f': 0.7387387337488841}","{'r': 0.59375, 'p': 0.6785714285714286, 'f': 0.6333333283555557}","{'r': 0.6724137931034483, 'p': 0.7358490566037735, 'f': 0.702702697712848}"
241,"{'r': 0.54, 'p': 0.5294117647058824, 'f': 0.5346534603470249}","{'r': 0.3968253968253968, 'p': 0.43103448275862066, 'f': 0.4132231355044054}","{'r': 0.54, 'p': 0.5294117647058824, 'f': 0.5346534603470249}"
242,"{'r': 0.7307692307692307, 'p': 0.7037037037037037, 'f': 0.7169811270772517}","{'r': 0.6307692307692307, 'p': 0.6612903225806451, 'f': 0.6456692863413728}","{'r': 0.7307692307692307, 'p': 0.7037037037037037, 'f': 0.7169811270772517}"
243,"{'r': 1.0, 'p': 0.7678571428571429, 'f': 0.8686868637730846}","{'r': 0.9591836734693877, 'p': 0.746031746031746, 'f': 0.8392857093638394}","{'r': 1.0, 'p': 0.7678571428571429, 'f': 0.8686868637730846}"
244,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
245,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
246,"{'r': 0.4482758620689655, 'p': 0.48148148148148145, 'f': 0.4642857092920919}","{'r': 0.3125, 'p': 0.3389830508474576, 'f': 0.32520324704078263}","{'r': 0.43103448275862066, 'p': 0.46296296296296297, 'f': 0.44642856643494905}"
247,"{'r': 0.5714285714285714, 'p': 0.7441860465116279, 'f': 0.6464646415508621}","{'r': 0.5441176470588235, 'p': 0.6851851851851852, 'f': 0.6065573721150229}","{'r': 0.5714285714285714, 'p': 0.7441860465116279, 'f': 0.6464646415508621}"
248,"{'r': 0.6346153846153846, 'p': 0.66, 'f': 0.6470588185313342}","{'r': 0.4642857142857143, 'p': 0.4727272727272727, 'f': 0.4684684634688743}","{'r': 0.5576923076923077, 'p': 0.58, 'f': 0.5686274459823146}"
249,"{'r': 0.38461538461538464, 'p': 0.37735849056603776, 'f': 0.3809523759528345}","{'r': 0.2857142857142857, 'p': 0.26666666666666666, 'f': 0.27586206397146257}","{'r': 0.36538461538461536, 'p': 0.3584905660377358, 'f': 0.36190475690521545}"
250,"{'r': 0.6415094339622641, 'p': 0.6071428571428571, 'f': 0.6238532060129619}","{'r': 0.5087719298245614, 'p': 0.46774193548387094, 'f': 0.48739495299202035}","{'r': 0.6415094339622641, 'p': 0.6071428571428571, 'f': 0.6238532060129619}"
251,"{'r': 0.6481481481481481, 'p': 0.603448275862069, 'f': 0.6249999950063776}","{'r': 0.4852941176470588, 'p': 0.4714285714285714, 'f': 0.47826086456626765}","{'r': 0.6296296296296297, 'p': 0.5862068965517241, 'f': 0.6071428521492348}"
252,"{'r': 0.9574468085106383, 'p': 0.8653846153846154, 'f': 0.9090909041036629}","{'r': 0.9454545454545454, 'p': 0.8125, 'f': 0.8739495748605326}","{'r': 0.9574468085106383, 'p': 0.8653846153846154, 'f': 0.9090909041036629}"
253,"{'r': 0.3888888888888889, 'p': 0.35, 'f': 0.3684210476454294}","{'r': 0.14285714285714285, 'p': 0.140625, 'f': 0.1417322784648771}","{'r': 0.3333333333333333, 'p': 0.3, 'f': 0.31578946869806096}"
254,"{'r': 0.3, 'p': 0.3125, 'f': 0.3061224439816743}","{'r': 0.0967741935483871, 'p': 0.10526315789473684, 'f': 0.10084033114328109}","{'r': 0.3, 'p': 0.3125, 'f': 0.3061224439816743}"
255,"{'r': 0.6785714285714286, 'p': 0.8085106382978723, 'f': 0.7378640727080782}","{'r': 0.6612903225806451, 'p': 0.7192982456140351, 'f': 0.689075625260928}","{'r': 0.6785714285714286, 'p': 0.8085106382978723, 'f': 0.7378640727080782}"
256,"{'r': 0.44642857142857145, 'p': 0.5681818181818182, 'f': 0.4999999950720001}","{'r': 0.36231884057971014, 'p': 0.4716981132075472, 'f': 0.40983606065976896}","{'r': 0.44642857142857145, 'p': 0.5681818181818182, 'f': 0.4999999950720001}"
257,"{'r': 0.7894736842105263, 'p': 0.8181818181818182, 'f': 0.8035714235730231}","{'r': 0.671875, 'p': 0.6825396825396826, 'f': 0.6771653493310188}","{'r': 0.7719298245614035, 'p': 0.8, 'f': 0.7857142807158802}"
258,"{'r': 0.7272727272727273, 'p': 0.8, 'f': 0.7619047569160999}","{'r': 0.6774193548387096, 'p': 0.6885245901639344, 'f': 0.6829268242686233}","{'r': 0.7272727272727273, 'p': 0.8, 'f': 0.7619047569160999}"
259,"{'r': 1.0, 'p': 0.7966101694915254, 'f': 0.8867924478942684}","{'r': 0.9811320754716981, 'p': 0.7428571428571429, 'f': 0.8455284503800647}","{'r': 1.0, 'p': 0.7966101694915254, 'f': 0.8867924478942684}"
260,"{'r': 0.7692307692307693, 'p': 0.9090909090909091, 'f': 0.8333333283680556}","{'r': 0.7123287671232876, 'p': 0.8666666666666667, 'f': 0.7819548822658149}","{'r': 0.7692307692307693, 'p': 0.9090909090909091, 'f': 0.8333333283680556}"
261,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
262,"{'r': 0.5535714285714286, 'p': 0.5166666666666667, 'f': 0.534482753626635}","{'r': 0.46774193548387094, 'p': 0.4142857142857143, 'f': 0.4393939344123049}","{'r': 0.5357142857142857, 'p': 0.5, 'f': 0.5172413743162902}"
263,"{'r': 0.4807692307692308, 'p': 0.5102040816326531, 'f': 0.4950494999549065}","{'r': 0.31666666666666665, 'p': 0.34545454545454546, 'f': 0.3304347776181475}","{'r': 0.46153846153846156, 'p': 0.4897959183673469, 'f': 0.4752475197568866}"
264,"{'r': 0.5, 'p': 0.4166666666666667, 'f': 0.4545454495867769}","{'r': 0.22033898305084745, 'p': 0.19117647058823528, 'f': 0.20472440447392906}","{'r': 0.44, 'p': 0.36666666666666664, 'f': 0.39999999504132233}"
265,"{'r': 0.9615384615384616, 'p': 0.8620689655172413, 'f': 0.9090909041057852}","{'r': 0.9016393442622951, 'p': 0.7857142857142857, 'f': 0.8396946515121497}","{'r': 0.9615384615384616, 'p': 0.8620689655172413, 'f': 0.9090909041057852}"
266,"{'r': 0.6666666666666666, 'p': 0.7169811320754716, 'f': 0.6909090859157025}","{'r': 0.5757575757575758, 'p': 0.6785714285714286, 'f': 0.6229508147057243}","{'r': 0.6666666666666666, 'p': 0.7169811320754716, 'f': 0.6909090859157025}"
267,"{'r': 0.6440677966101694, 'p': 0.76, 'f': 0.6972477014561065}","{'r': 0.5238095238095238, 'p': 0.5892857142857143, 'f': 0.5546218437567969}","{'r': 0.6440677966101694, 'p': 0.76, 'f': 0.6972477014561065}"
268,"{'r': 0.574468085106383, 'p': 0.6136363636363636, 'f': 0.5934065884120276}","{'r': 0.5, 'p': 0.5098039215686274, 'f': 0.5048543639325102}","{'r': 0.574468085106383, 'p': 0.6136363636363636, 'f': 0.5934065884120276}"
269,"{'r': 0.375, 'p': 0.3333333333333333, 'f': 0.35294117148788934}","{'r': 0.288135593220339, 'p': 0.27419354838709675, 'f': 0.28099173054026366}","{'r': 0.375, 'p': 0.3333333333333333, 'f': 0.35294117148788934}"
270,"{'r': 0.9782608695652174, 'p': 0.7377049180327869, 'f': 0.8411214904253648}","{'r': 0.9629629629629629, 'p': 0.7027027027027027, 'f': 0.8124999951220704}","{'r': 0.9782608695652174, 'p': 0.7377049180327869, 'f': 0.8411214904253648}"
271,"{'r': 0.9215686274509803, 'p': 0.8392857142857143, 'f': 0.8785046679081142}","{'r': 0.8333333333333334, 'p': 0.746268656716418, 'f': 0.7874015698183398}","{'r': 0.9215686274509803, 'p': 0.8392857142857143, 'f': 0.8785046679081142}"
272,"{'r': 0.23529411764705882, 'p': 0.23529411764705882, 'f': 0.23529411264705893}","{'r': 0.01694915254237288, 'p': 0.01639344262295082, 'f': 0.016666661668057057}","{'r': 0.19607843137254902, 'p': 0.19607843137254902, 'f': 0.19607842637254913}"
273,"{'r': 0.9814814814814815, 'p': 1.0, 'f': 0.9906542006079134}","{'r': 0.9090909090909091, 'p': 0.9090909090909091, 'f': 0.9090909040909091}","{'r': 0.9814814814814815, 'p': 1.0, 'f': 0.9906542006079134}"
274,"{'r': 0.5686274509803921, 'p': 0.4915254237288136, 'f': 0.5272727222991735}","{'r': 0.38333333333333336, 'p': 0.359375, 'f': 0.37096773694068685}","{'r': 0.5686274509803921, 'p': 0.4915254237288136, 'f': 0.5272727222991735}"
275,"{'r': 0.5, 'p': 0.4666666666666667, 'f': 0.4827586156956005}","{'r': 0.3283582089552239, 'p': 0.3235294117647059, 'f': 0.3259259209262003}","{'r': 0.5, 'p': 0.4666666666666667, 'f': 0.4827586156956005}"
276,"{'r': 0.5777777777777777, 'p': 0.5098039215686274, 'f': 0.541666661686198}","{'r': 0.4166666666666667, 'p': 0.4098360655737705, 'f': 0.4132231354962093}","{'r': 0.5777777777777777, 'p': 0.5098039215686274, 'f': 0.541666661686198}"
277,"{'r': 0.8703703703703703, 'p': 0.8103448275862069, 'f': 0.839285709292092}","{'r': 0.71875, 'p': 0.6571428571428571, 'f': 0.6865671591891291}","{'r': 0.8703703703703703, 'p': 0.8103448275862069, 'f': 0.839285709292092}"
278,"{'r': 0.7169811320754716, 'p': 0.6551724137931034, 'f': 0.6846846796948299}","{'r': 0.6031746031746031, 'p': 0.5846153846153846, 'f': 0.5937499950012208}","{'r': 0.7169811320754716, 'p': 0.6551724137931034, 'f': 0.6846846796948299}"
279,"{'r': 0.6612903225806451, 'p': 0.7592592592592593, 'f': 0.7068965467479191}","{'r': 0.6056338028169014, 'p': 0.7166666666666667, 'f': 0.656488544653575}","{'r': 0.6612903225806451, 'p': 0.7592592592592593, 'f': 0.7068965467479191}"
280,"{'r': 0.8125, 'p': 0.8666666666666667, 'f': 0.8387096724245579}","{'r': 0.6724137931034483, 'p': 0.6842105263157895, 'f': 0.6782608645655955}","{'r': 0.8125, 'p': 0.8666666666666667, 'f': 0.8387096724245579}"
281,"{'r': 1.0, 'p': 0.8703703703703703, 'f': 0.930693064330948}","{'r': 0.9655172413793104, 'p': 0.8235294117647058, 'f': 0.8888888839203831}","{'r': 1.0, 'p': 0.8703703703703703, 'f': 0.930693064330948}"
282,"{'r': 0.9655172413793104, 'p': 1.0, 'f': 0.9824561353524162}","{'r': 0.9705882352941176, 'p': 1.0, 'f': 0.9850746218667855}","{'r': 0.9655172413793104, 'p': 1.0, 'f': 0.9824561353524162}"
283,"{'r': 0.9433962264150944, 'p': 1.0, 'f': 0.9708737814120088}","{'r': 0.8939393939393939, 'p': 0.9672131147540983, 'f': 0.9291338532754666}","{'r': 0.9433962264150944, 'p': 1.0, 'f': 0.9708737814120088}"
284,"{'r': 0.5344827586206896, 'p': 0.5344827586206896, 'f': 0.5344827536206896}","{'r': 0.4032258064516129, 'p': 0.4098360655737705, 'f': 0.4065040600409809}","{'r': 0.5344827586206896, 'p': 0.5344827586206896, 'f': 0.5344827536206896}"
285,"{'r': 0.56, 'p': 0.5833333333333334, 'f': 0.571428566430654}","{'r': 0.5, 'p': 0.5172413793103449, 'f': 0.508474571272623}","{'r': 0.56, 'p': 0.5833333333333334, 'f': 0.571428566430654}"
286,"{'r': 0.58, 'p': 0.6041666666666666, 'f': 0.59183672969596}","{'r': 0.34545454545454546, 'p': 0.3333333333333333, 'f': 0.3392857092873087}","{'r': 0.56, 'p': 0.5833333333333334, 'f': 0.571428566430654}"
287,"{'r': 0.9841269841269841, 'p': 1.0, 'f': 0.99199999500032}","{'r': 0.9552238805970149, 'p': 0.9696969696969697, 'f': 0.9624060100378766}","{'r': 0.9841269841269841, 'p': 1.0, 'f': 0.99199999500032}"
288,"{'r': 0.6666666666666666, 'p': 0.7083333333333334, 'f': 0.6868686818732783}","{'r': 0.5862068965517241, 'p': 0.6538461538461539, 'f': 0.6181818131966943}","{'r': 0.6666666666666666, 'p': 0.7083333333333334, 'f': 0.6868686818732783}"
289,"{'r': 0.6136363636363636, 'p': 0.5, 'f': 0.551020403215327}","{'r': 0.40384615384615385, 'p': 0.3387096774193548, 'f': 0.36842104767005235}","{'r': 0.6136363636363636, 'p': 0.5, 'f': 0.551020403215327}"
290,"{'r': 0.5849056603773585, 'p': 0.5961538461538461, 'f': 0.590476185476644}","{'r': 0.4918032786885246, 'p': 0.4918032786885246, 'f': 0.4918032736885246}","{'r': 0.5849056603773585, 'p': 0.5961538461538461, 'f': 0.590476185476644}"
291,"{'r': 0.9387755102040817, 'p': 0.8070175438596491, 'f': 0.8679245233303667}","{'r': 0.9056603773584906, 'p': 0.676056338028169, 'f': 0.7741935434924558}","{'r': 0.9387755102040817, 'p': 0.8070175438596491, 'f': 0.8679245233303667}"
292,"{'r': 1.0, 'p': 0.9574468085106383, 'f': 0.9782608645675803}","{'r': 0.9811320754716981, 'p': 0.9454545454545454, 'f': 0.9629629579646777}","{'r': 1.0, 'p': 0.9574468085106383, 'f': 0.9782608645675803}"
293,"{'r': 0.7017543859649122, 'p': 0.7017543859649122, 'f': 0.7017543809649124}","{'r': 0.5806451612903226, 'p': 0.6101694915254238, 'f': 0.5950413173171233}","{'r': 0.6842105263157895, 'p': 0.6842105263157895, 'f': 0.6842105213157895}"
294,"{'r': 0.2222222222222222, 'p': 0.2127659574468085, 'f': 0.21739129935018917}","{'r': 0.019230769230769232, 'p': 0.019230769230769232, 'f': 0.019230764230770532}","{'r': 0.2, 'p': 0.19148936170212766, 'f': 0.19565216891540654}"
295,"{'r': 0.3728813559322034, 'p': 0.4489795918367347, 'f': 0.4074074024502744}","{'r': 0.27419354838709675, 'p': 0.32075471698113206, 'f': 0.29565216894366736}","{'r': 0.3728813559322034, 'p': 0.4489795918367347, 'f': 0.4074074024502744}"
296,"{'r': 0.6304347826086957, 'p': 0.6444444444444445, 'f': 0.6373626323632412}","{'r': 0.47368421052631576, 'p': 0.47368421052631576, 'f': 0.4736842055263158}","{'r': 0.6304347826086957, 'p': 0.6444444444444445, 'f': 0.6373626323632412}"
297,"{'r': 0.8367346938775511, 'p': 0.7192982456140351, 'f': 0.7735849006888572}","{'r': 0.7142857142857143, 'p': 0.6060606060606061, 'f': 0.655737699951626}","{'r': 0.8367346938775511, 'p': 0.7192982456140351, 'f': 0.7735849006888572}"
298,"{'r': 0.7073170731707317, 'p': 0.46774193548387094, 'f': 0.5631067913243473}","{'r': 0.43137254901960786, 'p': 0.3013698630136986, 'f': 0.35483870483480756}","{'r': 0.6829268292682927, 'p': 0.45161290322580644, 'f': 0.5436893155961919}"
299,"{'r': 0.5714285714285714, 'p': 0.7272727272727273, 'f': 0.639999995072}","{'r': 0.36923076923076925, 'p': 0.47058823529411764, 'f': 0.4137930985211059}","{'r': 0.5714285714285714, 'p': 0.7272727272727273, 'f': 0.639999995072}"
300,"{'r': 0.9, 'p': 0.8490566037735849, 'f': 0.8737864027712321}","{'r': 0.9090909090909091, 'p': 0.7936507936507936, 'f': 0.847457622141626}","{'r': 0.9, 'p': 0.8490566037735849, 'f': 0.8737864027712321}"
301,"{'r': 0.7796610169491526, 'p': 0.696969696969697, 'f': 0.7359999950156801}","{'r': 0.7142857142857143, 'p': 0.6493506493506493, 'f': 0.6802721038548752}","{'r': 0.7796610169491526, 'p': 0.696969696969697, 'f': 0.7359999950156801}"
302,"{'r': 0.46153846153846156, 'p': 0.5172413793103449, 'f': 0.4878048730649746}","{'r': 0.34210526315789475, 'p': 0.38235294117647056, 'f': 0.36111110612654324}","{'r': 0.46153846153846156, 'p': 0.5172413793103449, 'f': 0.4878048730649746}"
303,"{'r': 0.16666666666666666, 'p': 0.375, 'f': 0.23076922650887582}","{'r': 0.01639344262295082, 'p': 0.037037037037037035, 'f': 0.02272726847365782}","{'r': 0.12962962962962962, 'p': 0.2916666666666667, 'f': 0.17948717522682459}"
304,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
305,"{'r': 0.8448275862068966, 'p': 0.9423076923076923, 'f': 0.890909085923967}","{'r': 0.7727272727272727, 'p': 0.8947368421052632, 'f': 0.8292682877096967}","{'r': 0.8448275862068966, 'p': 0.9423076923076923, 'f': 0.890909085923967}"
306,"{'r': 0.6065573770491803, 'p': 0.6851851851851852, 'f': 0.6434782558880909}","{'r': 0.4927536231884058, 'p': 0.576271186440678, 'f': 0.5312499950305176}","{'r': 0.6065573770491803, 'p': 0.6851851851851852, 'f': 0.6434782558880909}"
307,"{'r': 0.8909090909090909, 'p': 0.9607843137254902, 'f': 0.9245282968939126}","{'r': 0.873015873015873, 'p': 0.9322033898305084, 'f': 0.90163933926767}","{'r': 0.8909090909090909, 'p': 0.9607843137254902, 'f': 0.9245282968939126}"
308,"{'r': 0.9824561403508771, 'p': 0.8615384615384616, 'f': 0.9180327819067455}","{'r': 0.9841269841269841, 'p': 0.8611111111111112, 'f': 0.9185185135407408}","{'r': 0.9824561403508771, 'p': 0.8615384615384616, 'f': 0.9180327819067455}"
309,"{'r': 0.7142857142857143, 'p': 0.7547169811320755, 'f': 0.7339449491322281}","{'r': 0.59375, 'p': 0.5846153846153846, 'f': 0.5891472818220059}","{'r': 0.7142857142857143, 'p': 0.7547169811320755, 'f': 0.7339449491322281}"
310,"{'r': 0.717948717948718, 'p': 0.5490196078431373, 'f': 0.6222222173111113}","{'r': 0.5531914893617021, 'p': 0.4262295081967213, 'f': 0.4814814765655007}","{'r': 0.717948717948718, 'p': 0.5490196078431373, 'f': 0.6222222173111113}"
311,"{'r': 0.5384615384615384, 'p': 0.5490196078431373, 'f': 0.5436893153888208}","{'r': 0.36507936507936506, 'p': 0.3709677419354839, 'f': 0.36799999500032005}","{'r': 0.5192307692307693, 'p': 0.5294117647058824, 'f': 0.5242718396606656}"
312,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.9838709677419355, 'p': 0.9682539682539683, 'f': 0.97599999500032}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
313,"{'r': 0.3958333333333333, 'p': 0.31666666666666665, 'f': 0.35185184691358035}","{'r': 0.11864406779661017, 'p': 0.109375, 'f': 0.1138211332196446}","{'r': 0.3541666666666667, 'p': 0.2833333333333333, 'f': 0.3148148098765433}"
314,"{'r': 1.0, 'p': 0.9508196721311475, 'f': 0.9747899109695644}","{'r': 0.9846153846153847, 'p': 0.927536231884058, 'f': 0.9552238756014703}","{'r': 1.0, 'p': 0.9508196721311475, 'f': 0.9747899109695644}"
315,"{'r': 0.26229508196721313, 'p': 0.25806451612903225, 'f': 0.2601625966263468}","{'r': 0.09333333333333334, 'p': 0.1044776119402985, 'f': 0.09859154431164477}","{'r': 0.26229508196721313, 'p': 0.25806451612903225, 'f': 0.2601625966263468}"
316,"{'r': 0.52, 'p': 0.48148148148148145, 'f': 0.4999999950073965}","{'r': 0.41379310344827586, 'p': 0.3870967741935484, 'f': 0.39999999500555555}","{'r': 0.52, 'p': 0.48148148148148145, 'f': 0.4999999950073965}"
317,"{'r': 0.6382978723404256, 'p': 0.5555555555555556, 'f': 0.5940594009646114}","{'r': 0.4909090909090909, 'p': 0.421875, 'f': 0.45378150763364167}","{'r': 0.6170212765957447, 'p': 0.5370370370370371, 'f': 0.5742574207665916}"
318,"{'r': 0.5636363636363636, 'p': 0.5535714285714286, 'f': 0.5585585535589644}","{'r': 0.453125, 'p': 0.4027777777777778, 'f': 0.4264705832525952}","{'r': 0.5636363636363636, 'p': 0.5535714285714286, 'f': 0.5585585535589644}"
319,"{'r': 0.7254901960784313, 'p': 0.7872340425531915, 'f': 0.7551020358246564}","{'r': 0.6779661016949152, 'p': 0.6779661016949152, 'f': 0.6779660966949153}","{'r': 0.7254901960784313, 'p': 0.7872340425531915, 'f': 0.7551020358246564}"
320,"{'r': 0.5306122448979592, 'p': 0.48148148148148145, 'f': 0.5048543639438213}","{'r': 0.3157894736842105, 'p': 0.2857142857142857, 'f': 0.2999999950125001}","{'r': 0.5102040816326531, 'p': 0.46296296296296297, 'f': 0.48543688821566605}"
321,"{'r': 0.46938775510204084, 'p': 0.35384615384615387, 'f': 0.40350876702831645}","{'r': 0.3448275862068966, 'p': 0.2857142857142857, 'f': 0.3124999950439454}","{'r': 0.46938775510204084, 'p': 0.35384615384615387, 'f': 0.40350876702831645}"
322,"{'r': 0.5846153846153846, 'p': 0.6551724137931034, 'f': 0.6178861738779828}","{'r': 0.4714285714285714, 'p': 0.55, 'f': 0.5076923027218936}","{'r': 0.5538461538461539, 'p': 0.6206896551724138, 'f': 0.5853658486747306}"
323,"{'r': 0.5081967213114754, 'p': 0.5, 'f': 0.5040650356507371}","{'r': 0.3235294117647059, 'p': 0.3283582089552239, 'f': 0.3259259209262003}","{'r': 0.5081967213114754, 'p': 0.5, 'f': 0.5040650356507371}"
324,"{'r': 0.8867924528301887, 'p': 0.746031746031746, 'f': 0.810344822623365}","{'r': 0.7777777777777778, 'p': 0.6901408450704225, 'f': 0.731343278599911}","{'r': 0.8867924528301887, 'p': 0.746031746031746, 'f': 0.810344822623365}"
325,"{'r': 0.6909090909090909, 'p': 0.5507246376811594, 'f': 0.6129032208701873}","{'r': 0.6333333333333333, 'p': 0.48717948717948717, 'f': 0.5507246327662256}","{'r': 0.6909090909090909, 'p': 0.5507246376811594, 'f': 0.6129032208701873}"
326,"{'r': 0.6909090909090909, 'p': 0.6785714285714286, 'f': 0.6846846796850906}","{'r': 0.625, 'p': 0.5737704918032787, 'f': 0.5982905932997298}","{'r': 0.6909090909090909, 'p': 0.6785714285714286, 'f': 0.6846846796850906}"
327,"{'r': 0.47368421052631576, 'p': 0.5192307692307693, 'f': 0.4954128390472183}","{'r': 0.375, 'p': 0.42857142857142855, 'f': 0.3999999950222222}","{'r': 0.47368421052631576, 'p': 0.5192307692307693, 'f': 0.4954128390472183}"
328,"{'r': 0.75, 'p': 0.8125, 'f': 0.7799999950080001}","{'r': 0.6333333333333333, 'p': 0.7450980392156863, 'f': 0.6846846797175554}","{'r': 0.75, 'p': 0.8125, 'f': 0.7799999950080001}"
329,"{'r': 0.9310344827586207, 'p': 0.9310344827586207, 'f': 0.9310344777586208}","{'r': 0.9, 'p': 0.9130434782608695, 'f': 0.9064748151441436}","{'r': 0.9310344827586207, 'p': 0.9310344827586207, 'f': 0.9310344777586208}"
330,"{'r': 0.8541666666666666, 'p': 0.9111111111111111, 'f': 0.8817204251127299}","{'r': 0.8275862068965517, 'p': 0.8135593220338984, 'f': 0.8205128155131859}","{'r': 0.8541666666666666, 'p': 0.9111111111111111, 'f': 0.8817204251127299}"
331,"{'r': 0.7560975609756098, 'p': 0.6458333333333334, 'f': 0.6966292085140766}","{'r': 0.5370370370370371, 'p': 0.5087719298245614, 'f': 0.5225225175261751}","{'r': 0.7560975609756098, 'p': 0.6458333333333334, 'f': 0.6966292085140766}"
332,"{'r': 0.8269230769230769, 'p': 0.7962962962962963, 'f': 0.8113207497187611}","{'r': 0.6875, 'p': 0.6666666666666666, 'f': 0.6769230719242605}","{'r': 0.8076923076923077, 'p': 0.7777777777777778, 'f': 0.7924528251904592}"
333,"{'r': 0.8181818181818182, 'p': 0.8653846153846154, 'f': 0.8411214903310333}","{'r': 0.7121212121212122, 'p': 0.7833333333333333, 'f': 0.746031741043084}","{'r': 0.8181818181818182, 'p': 0.8653846153846154, 'f': 0.8411214903310333}"
334,"{'r': 1.0, 'p': 0.7258064516129032, 'f': 0.8411214904533147}","{'r': 0.98, 'p': 0.6712328767123288, 'f': 0.7967479626545046}","{'r': 1.0, 'p': 0.7258064516129032, 'f': 0.8411214904533147}"
335,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
336,"{'r': 0.5357142857142857, 'p': 0.4918032786885246, 'f': 0.5128205078296444}","{'r': 0.3968253968253968, 'p': 0.3333333333333333, 'f': 0.3623188356175174}","{'r': 0.5178571428571429, 'p': 0.47540983606557374, 'f': 0.49572649073562713}"
337,"{'r': 0.9245283018867925, 'p': 0.8596491228070176, 'f': 0.8909090859157025}","{'r': 0.8840579710144928, 'p': 0.8472222222222222, 'f': 0.8652482219526181}","{'r': 0.9056603773584906, 'p': 0.8421052631578947, 'f': 0.8727272677338843}"
338,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
339,"{'r': 0.5538461538461539, 'p': 0.5538461538461539, 'f': 0.553846148846154}","{'r': 0.39473684210526316, 'p': 0.410958904109589, 'f': 0.4026845587604162}","{'r': 0.5076923076923077, 'p': 0.5076923076923077, 'f': 0.5076923026923077}"
340,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
341,"{'r': 0.7407407407407407, 'p': 0.8, 'f': 0.7692307642381657}","{'r': 0.6440677966101694, 'p': 0.6909090909090909, 'f': 0.6666666616728224}","{'r': 0.7407407407407407, 'p': 0.8, 'f': 0.7692307642381657}"
342,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
343,"{'r': 0.9661016949152542, 'p': 0.9344262295081968, 'f': 0.9499999950013889}","{'r': 0.8615384615384616, 'p': 0.8, 'f': 0.8296296246364885}","{'r': 0.9661016949152542, 'p': 0.9344262295081968, 'f': 0.9499999950013889}"
344,"{'r': 0.8181818181818182, 'p': 0.9782608695652174, 'f': 0.8910891039505932}","{'r': 0.746031746031746, 'p': 0.94, 'f': 0.831858402145822}","{'r': 0.8181818181818182, 'p': 0.9782608695652174, 'f': 0.8910891039505932}"
345,"{'r': 0.8421052631578947, 'p': 0.8571428571428571, 'f': 0.8495575171242854}","{'r': 0.746031746031746, 'p': 0.746031746031746, 'f': 0.7460317410317461}","{'r': 0.8245614035087719, 'p': 0.8392857142857143, 'f': 0.8318584020800377}"
346,"{'r': 0.7954545454545454, 'p': 0.5384615384615384, 'f': 0.6422018300479758}","{'r': 0.7346938775510204, 'p': 0.46153846153846156, 'f': 0.5669291291189784}","{'r': 0.7954545454545454, 'p': 0.5384615384615384, 'f': 0.6422018300479758}"
