,rouge-1,rouge-2,rouge-l
884,"{'r': 0.75, 'p': 0.6875, 'f': 0.717391299357278}","{'r': 0.6363636363636364, 'p': 0.5303030303030303, 'f': 0.5785123917355373}","{'r': 0.7272727272727273, 'p': 0.6666666666666666, 'f': 0.6956521689224953}"
885,"{'r': 0.9761904761904762, 'p': 1.0, 'f': 0.9879518022296414}","{'r': 0.9661016949152542, 'p': 0.9827586206896551, 'f': 0.9743589693593397}","{'r': 0.9761904761904762, 'p': 1.0, 'f': 0.9879518022296414}"
886,"{'r': 0.3829787234042553, 'p': 0.3673469387755102, 'f': 0.37499999500217013}","{'r': 0.24074074074074073, 'p': 0.22807017543859648, 'f': 0.23423422923788664}","{'r': 0.3617021276595745, 'p': 0.3469387755102041, 'f': 0.3541666616688368}"
887,"{'r': 0.7755102040816326, 'p': 0.6666666666666666, 'f': 0.7169811271039516}","{'r': 0.7241379310344828, 'p': 0.5915492957746479, 'f': 0.6511627857484527}","{'r': 0.7755102040816326, 'p': 0.6666666666666666, 'f': 0.7169811271039516}"
888,"{'r': 0.7727272727272727, 'p': 0.7083333333333334, 'f': 0.7391304297920607}","{'r': 0.6140350877192983, 'p': 0.625, 'f': 0.6194690215490641}","{'r': 0.7727272727272727, 'p': 0.7083333333333334, 'f': 0.7391304297920607}"
889,"{'r': 0.5094339622641509, 'p': 0.5094339622641509, 'f': 0.5094339572641511}","{'r': 0.4107142857142857, 'p': 0.38333333333333336, 'f': 0.3965517191438763}","{'r': 0.49056603773584906, 'p': 0.49056603773584906, 'f': 0.4905660327358491}"
890,"{'r': 0.7627118644067796, 'p': 0.8333333333333334, 'f': 0.7964601720009399}","{'r': 0.6865671641791045, 'p': 0.7419354838709677, 'f': 0.713178289581155}","{'r': 0.7627118644067796, 'p': 0.8333333333333334, 'f': 0.7964601720009399}"
891,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
892,"{'r': 0.532258064516129, 'p': 0.4925373134328358, 'f': 0.5116279019842559}","{'r': 0.42028985507246375, 'p': 0.3372093023255814, 'f': 0.3741935434472425}","{'r': 0.532258064516129, 'p': 0.4925373134328358, 'f': 0.5116279019842559}"
893,"{'r': 0.8936170212765957, 'p': 0.711864406779661, 'f': 0.792452825252759}","{'r': 0.7547169811320755, 'p': 0.625, 'f': 0.6837606788048799}","{'r': 0.8723404255319149, 'p': 0.6949152542372882, 'f': 0.7735849007244573}"
894,"{'r': 0.8541666666666666, 'p': 0.7592592592592593, 'f': 0.803921563644752}","{'r': 0.7192982456140351, 'p': 0.6612903225806451, 'f': 0.689075625260928}","{'r': 0.8541666666666666, 'p': 0.7592592592592593, 'f': 0.803921563644752}"
895,"{'r': 1.0, 'p': 0.6875, 'f': 0.8148148099862826}","{'r': 0.9761904761904762, 'p': 0.6721311475409836, 'f': 0.7961165000245075}","{'r': 1.0, 'p': 0.6875, 'f': 0.8148148099862826}"
896,"{'r': 0.5625, 'p': 0.5, 'f': 0.5294117597231834}","{'r': 0.2631578947368421, 'p': 0.21739130434782608, 'f': 0.23809523314058967}","{'r': 0.5, 'p': 0.4444444444444444, 'f': 0.4705882303114187}"
897,"{'r': 0.8181818181818182, 'p': 0.6923076923076923, 'f': 0.7499999950347224}","{'r': 0.7, 'p': 0.5932203389830508, 'f': 0.6422018298964733}","{'r': 0.8181818181818182, 'p': 0.6923076923076923, 'f': 0.7499999950347224}"
898,"{'r': 0.6101694915254238, 'p': 0.6428571428571429, 'f': 0.6260869515251418}","{'r': 0.53125, 'p': 0.5230769230769231, 'f': 0.527131777946037}","{'r': 0.6101694915254238, 'p': 0.6428571428571429, 'f': 0.6260869515251418}"
